报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
营业总收入(万元),3082562.0,24289711.0,11710050.0,6981048.0,1858923.0,24047724.0,11705480.0,7479529.0,1461131.0,19554913.0,7959621.0,5026680.0,889434.0,14638800.0,6313959.0,4096190.0,949722.0,13541879.0,6341532.0,4139035.0,1399991.0,10311625.0,4612822.0,3072299.0,1034591.0,7178275.0,2930837.0,1998884.0,797026.0,5071385.0,2238043.0,1676633.0,750497.0,4888101.0,2954384.0,2180865.0,816432.0,4099178.0,2254191.0,1725501.0,640044.0,3552661.0,1417347.0,1109652.0,411414.0,1791833.0,850870.0,666972.0,230387.0,1061420.0,796065.0,530710.0,265355.0
营业收入(万元),3082562.0,24289711.0,11710050.0,6981048.0,1858923.0,24047724.0,11705480.0,7479529.0,1461131.0,19554913.0,7959621.0,5026680.0,889434.0,14638800.0,6313959.0,4096190.0,949722.0,13541879.0,6341532.0,4139035.0,1399991.0,10311625.0,4612822.0,3072299.0,1034591.0,7178275.0,2930837.0,1998884.0,797026.0,5071385.0,2238043.0,1676633.0,750497.0,4888101.0,2954384.0,2180865.0,816432.0,4099178.0,2254191.0,1725501.0,640044.0,3552661.0,1417347.0,1109652.0,411414.0,1791833.0,850870.0,666972.0,230387.0,1061420.0,796065.0,530710.0,265355.0
利息收入(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已赚保费(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
手续费及佣金收入(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
房地产销售收入(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他业务收入(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
营业总成本(万元),2750323.0,19832384.0,9979995.0,5766867.0,1728994.0,20646729.0,10351367.0,6623309.0,1334969.0,16598826.0,6872362.0,4246355.0,808633.0,12557892.0,5521417.0,3541767.0,820971.0,11216207.0,5396002.0,3467414.0,1164156.0,8302317.0,3863828.0,2518134.0,842399.0,5671638.0,2378348.0,1560292.0,630707.0,3958184.0,1787251.0,1313695.0,602980.0,4112244.0,2483703.0,1777806.0,696601.0,3485566.0,1887138.0,1394702.0,536394.0,2805949.0,1120074.0,854675.0,328217.0,1466353.0,659456.0,495230.0,177794.0,869124.0,651843.0,434562.0,217281.0
营业成本(万元),2029190.0,16007992.0,7994337.0,4701502.0,1304887.0,16974240.0,8600359.0,5511749.0,996770.0,13815063.0,5646716.0,3496081.0,587011.0,10255706.0,4415711.0,2829841.0,570628.0,9279765.0,4303079.0,2748888.0,880159.0,6542161.0,2888554.0,1927445.0,602230.0,4322816.0,1704442.0,1099273.0,406877.0,3007350.0,1369615.0,1023975.0,474912.0,3451472.0,2061900.0,1500730.0,540408.0,2500527.0,1341616.0,1017141.0,392591.0,2060734.0,751631.0,604632.0,228051.0,1144126.0,517976.0,400482.0,142599.0,690590.0,517942.5,345295.0,172647.5
利息支出(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
手续费及佣金支出(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
房地产销售成本(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
研发费用(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
退保金(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
赔付支出净额(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
提取保险合同准备金净额(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
保单红利支出(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
分保费用(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他业务成本(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
营业税金及附加(万元),255226.0,1972223.0,944371.0,516069.0,135148.0,2197875.0,1008022.0,628456.0,126534.0,1798043.0,692313.0,441174.0,75389.0,1316675.0,572975.0,374023.0,90526.0,1154500.0,585181.0,410927.0,132726.0,1091630.0,524954.0,330068.0,114641.0,777879.0,349217.0,252309.0,109414.0,562411.0,222589.0,169834.0,74551.0,360258.0,220999.0,163582.0,85557.0,453387.0,248004.0,203914.0,64768.0,411577.0,170062.0,131017.0,51235.0,157954.0,50302.0,39319.0,13659.0,77948.0,58461.0,38974.0,19487.0
销售费用(万元),127615.0,626198.0,365852.0,210270.0,100834.0,516072.0,332775.0,204522.0,72660.0,413827.0,267258.0,154869.0,68724.0,452189.0,257525.0,154229.0,71055.0,386471.0,232167.0,143110.0,62340.0,305638.0,210494.0,123838.0,58224.0,255678.0,168937.0,95675.0,39352.0,207909.0,100673.0,60640.0,29329.0,151372.0,93448.0,55145.0,23858.0,186035.0,113378.0,70918.0,27841.0,119454.0,71114.0,40696.0,18410.0,62572.0,37260.0,21778.0,9530.0,46629.0,34971.75,23314.5,11657.25
管理费用(万元),221820.0,886571.0,533065.0,260462.0,147747.0,680056.0,317148.0,217647.0,114282.0,474525.0,226447.0,141823.0,71285.0,390262.0,209287.0,140909.0,66524.0,300284.0,188110.0,119221.0,57273.0,278031.0,159651.0,84380.0,50646.0,257821.0,127136.0,87024.0,56268.0,184637.0,86629.0,56327.0,30925.0,144199.0,88737.0,56903.0,28281.0,153080.0,100371.0,81674.0,37161.0,176377.0,98629.0,58613.0,27908.0,85946.0,45159.0,29118.0,9232.0,49537.0,37152.75,24768.5,12384.25
财务费用(万元),104004.0,207526.0,132613.0,71828.0,36981.0,159207.0,65705.0,42712.0,24182.0,47774.0,34103.0,9973.0,4434.0,64084.0,60339.0,39676.0,18348.0,89172.0,82541.0,37478.0,29950.0,76476.0,67041.0,42371.0,12931.0,50981.0,19488.0,19167.0,14924.0,50423.0,29715.0,26133.0,10559.0,57368.0,42434.0,23710.0,18432.0,65725.0,27286.0,20077.0,13309.0,35950.0,27908.0,17815.0,2593.0,14015.0,6605.0,2795.0,1187.0,1970.0,1477.5,985.0,492.5
资产减值损失(万元),12468.0,131874.0,9756.0,6735.0,3398.0,119279.0,27359.0,18223.0,542.0,49595.0,5524.0,2436.0,1789.0,78976.0,5581.0,3089.0,3890.0,6015.0,4923.0,7790.0,1707.0,8382.0,13135.0,10032.0,3728.0,6463.0,9128.0,6844.0,3871.0,-54545.0,-21969.0,-23213.0,-17295.0,-52424.0,-23815.0,-22265.0,65.0,126811.0,56484.0,977.0,724.0,1857.0,729.0,1903.0,20.0,1740.0,2153.0,1737.0,1587.0,2450.0,1837.5,1225.0,612.5
公允价值变动收益(万元),-1660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1101.0,280.0,289.0,-57.0,-57.0,-39.0,146.0,146.0,-872.0,-927.0,-227.0,-1035.0,-287.0,-1045.0,363.0,-194.0,-1505.0,-1628.0,-581.0,-108.0,244.0,169.0,-185.0,-215.0,1926.0,1965.0,-302.0,-1532.0,-2225.0,-130.0,171.0,59.0,130.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0
投资收益(万元),-33482.0,624456.0,338712.0,151984.0,25972.0,501384.0,224617.0,134240.0,38498.0,356191.0,148111.0,91569.0,36182.0,415926.0,162944.0,130913.0,73082.0,100519.0,51556.0,38754.0,3533.0,92869.0,67227.0,47295.0,12532.0,69972.0,8864.0,2833.0,-1235.0,77793.0,51650.0,49474.0,6786.0,92408.0,31424.0,16211.0,3543.0,20941.0,6814.0,2250.0,697.0,20803.0,477.0,-1029.0,-297.0,17081.0,12925.0,9956.0,6523.0,-13.0,-9.75,-6.5,-3.25
对联营企业和合营企业的投资收益(万元),-34339.0,456916.0,241709.0,147253.0,24118.0,493072.0,204683.0,127233.0,8581.0,239309.0,123260.0,91104.0,30523.0,184037.0,88875.0,56844.0,23619.0,99940.0,50936.0,38763.0,3505.0,88979.0,62667.0,42252.0,7626.0,64399.0,2890.0,777.0,-1780.0,29170.0,8528.0,9444.0,895.0,54186.0,17959.0,14504.0,1897.0,20974.0,7466.0,2178.0,697.0,12864.0,-3183.0,0.0,-293.0,6010.0,2201.0,0.0,803.0,-208.0,-156.0,-104.0,-52.0
汇兑收益(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
期货损益(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
托管收益(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
补贴收入(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他业务利润(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
营业利润(万元),297106.0,5081292.0,2068768.0,1366165.0,155901.0,3902378.0,1578730.0,990461.0,164660.0,3312278.0,1235370.0,871893.0,116982.0,2497936.0,955766.0,685626.0,201775.0,2426134.0,997047.0,710521.0,239514.0,2101304.0,815293.0,601233.0,203690.0,1576322.0,560308.0,441787.0,164889.0,1189489.0,500814.0,411831.0,154195.0,868508.0,502274.0,419085.0,123159.0,636479.0,375833.0,332748.0,102814.0,765290.0,297620.0,254119.0,82959.0,342691.0,204439.0,181797.0,59117.0,192283.0,144212.25,96141.5,48070.75
营业外收入(万元),6355.0,72329.0,42039.0,32399.0,4906.0,39831.0,23051.0,11451.0,5689.0,85543.0,20505.0,9830.0,3809.0,35187.0,33871.0,30475.0,3713.0,11897.0,7816.0,5571.0,1853.0,14465.0,7593.0,4941.0,2852.0,7619.0,6529.0,4237.0,2970.0,7173.0,7204.0,4293.0,1849.0,7068.0,7515.0,4592.0,1564.0,5746.0,4624.0,4097.0,642.0,3146.0,1387.0,1004.0,578.0,2131.0,1077.0,799.0,292.0,2826.0,2119.5,1413.0,706.5
