报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
货币资金(万元),9478231.0,17412101.0,9435263.0,10756321.0,9096914.0,8703212.0,7518702.0,7186799.0,5278476.0,5318038.0,4273456.0,4461256.0,3888971.0,6271525.0,4874186.0,4286172.0,3752582.0,4436541.0,3706356.0,3760363.0,5225869.0,5229154.0,3330740.0,4701219.0,3905442.0,3423951.0,3389945.0,4077947.0,3718932.0,3781693.0,3154346.0,1911131.0,1791762.0,2300192.0,2761462.0,2688042.0,2692192.0,1997829.0,1994242.0,1536985.0,1562609.0,1704650.0,2238796.0,1208594.0,922375.0,1074370.0,887003.25,699636.5,512269.75,324903.0,324903.0,324903.0,324903.0
结算备付金(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
拆出资金(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
交易性金融资产(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6283.0,0.0,0.0,0.0,3167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,160.0,230.0,172.5,115.0,57.5,0.0,0.0,0.0,0.0
衍生金融资产(万元),1829.0,1249.0,641.0,641.0,6715.0,45867.0,703.0,8309.0,0.0,12220.0,7218.0,0.0,0.0,3640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收账款(万元),147643.0,143273.0,130211.0,169483.0,173450.0,207526.0,250427.0,226239.0,161786.0,251065.0,150819.0,189773.0,161471.0,189407.0,173841.0,221024.0,292617.0,307897.0,143247.0,174830.0,181870.0,188655.0,135249.0,114048.0,125417.0,151481.0,99508.0,104489.0,110285.0,159402.0,19254.0,33629.0,40678.0,71319.0,50152.0,100108.0,103714.0,92277.0,77767.0,103220.0,86522.0,86488.0,31751.0,44627.0,29983.0,36461.0,36778.5,37096.0,37413.5,37731.0,37731.0,37731.0,37731.0
预付款项(万元),8309786.0,7301711.0,10527007.0,6896325.0,6015086.0,5026254.0,4939799.0,4614282.0,4276716.0,3964697.0,5302845.0,4010335.0,3796003.0,2943313.0,3232324.0,3194581.0,3370547.0,2865367.0,3186745.0,2960195.0,3337150.0,3337361.0,2408809.0,2262634.0,2396146.0,2011622.0,2148448.0,1922748.0,1930159.0,1783800.0,1084364.0,976045.0,933321.0,873632.0,473385.0,285805.0,321819.0,316052.0,536469.0,582528.0,994305.0,828420.0,450220.0,290459.0,175696.0,231384.0,191141.25,150898.5,110655.75,70413.0,70413.0,70413.0,70413.0
应收保费(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收分保账款(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收分保合同准备金(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收利息(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
